name,latitude,longitude
Langegg,47.06,15.64
Mittergoggitsch,47.04,15.68
Obergoggitsch,47.04,15.66
Unterbuch,47.05,15.66
Zaunstein,47.05,15.67
Laßnitzhöhe,47.08,15.58
Lieboch,46.98,15.33
Schadendorf,46.98,15.32
Spatenhof,46.96,15.35
Dillach,46.93,15.51
Enzelsdorf,46.95,15.51
Mellach,46.94,15.52
Mitterlaßnitz,47.08,15.62
Nestelbach,47.06,15.61
Friesach,47.17,15.34
Peggau,47.20,15.35
Pirka,47.00,15.39
Windorf,46.99,15.40
Hart,47.15,15.57
Purgstall,47.13,15.57
Dürwagersbach,47.03,15.54
Raaba,47.03,15.50
Röthelstein,47.31,15.37
Rohrbach,47.06,15.30
Steinberg,47.05,15.56
Jaritzberg,47.08,15.26
Lichtenegg,47.08,15.25
Reiteregg,47.06,15.27
Sankt Bartholomä,47.07,15.26
Sankt Marein,47.02,15.69
Sankt Marein,,
Plankenwarth,47.09,15.31
Sankt Oswald,47.09,15.28
Diepoltsberg,47.18,15.50
Ebersdorf,47.17,15.50
Kickenheim,47.17,15.51
Rinnegg,47.16,15.49
Sankt Radegund,47.18,15.49
Schöckl,47.19,15.48
Willersdorf,47.19,15.50
Gschwendt,47.18,15.57
Schrems,47.27,15.37
Seiersberg,47.01,15.40
Markterviertl,47.20,15.38
Präbichl,47.19,15.43
Rechberg,47.27,15.42
Schönegg,47.24,15.37
Semriach,47.22,15.40
Thoneben,47.18,15.36
Windhof,47.22,15.43
Buch,47.16,15.43
Eichberg,47.14,15.41
Hochgreit,47.13,15.43
Hohenberg,47.15,15.45
Hub,47.14,15.42
Kalkleiten,47.14,15.44
Krail,47.13,15.40
Leber,47.17,15.42
Mühl,47.12,15.43
Neudorf,47.06,15.28
Rannach,47.15,15.39
Steingraben,47.11,15.48
Ursprung,47.13,15.42
Stiwoll,47.10,15.22
Thal,47.08,15.36
Tulwitzdorf,47.29,15.45
Tulwitzviertl,47.27,15.44
Nechnitz,47.30,15.43
Tyrnau,47.31,15.42
Kleintal,47.24,15.16
